name,rating,types,directors,actors
周处除三害,8.1,动作 / 犯罪,黄精甫,阮经天 / 袁富华 / 陈以文 / 王净 / 谢琼煖 / 李李仁 / 刘子铨 / 曾珮瑜 / 陈秉佑  / 游安顺 / 郑有杰 / 盛鉴 / 吴奕蓉 / 黄迪扬 / 曾向镇 / 沈威年 / 杨迦恩 / 曾皓泽 / 郑永岳 / 张启乐 / 苏耀庭 / 练家豪 / 李明哲 / 廖威迪 / 罗振佑 / 王又正 / 林君柔 / 黄瀚德 / 刘子朋 / 罗能华 / 许莉廷 / 林瑞华 / 刘禾育 / 郭容腾 / 李年雄 / 许德城 / 黄惠卿 / 刘昕昊 / 权乐
毕正明的证明,7.2,剧情 / 犯罪,佟志坚,王安宇 / 张天爱 / 聂远 / 王彦霖 / 冯兵 / 邬家楷 / 孔令美 / 黄小蕾 / 冯雷 / 石云鹏 / 于白水 / 生港帅 / 楚布花羯 / 师铭泽 / 李晓川 / 王超
捕风追影,8.1,剧情 / 动作 / 犯罪,杨子,成龙 / 张子枫 / 梁家辉 / 此沙 / 文俊辉 / 周政杰 / 王杍逸 / 郎月婷 / 林秋楠 / 王振威 / 李哲坤
好东西,8.9,剧情 / 爱情,邵艺辉,宋佳 / 钟楚曦 / 曾慕梅 / 章宇 / 赵又廷 / 任彬 / 张弛 / 周野芒 / 王菊 / 孔连顺 / 蒋易 / 杨英格 / 安栋 / 冯玛娅
流浪地球2,8.3,科幻 / 冒险 / 灾难,郭帆,吴京 / 刘德华 / 李雪健 / 沙溢 / 宁理 / 王智 / 朱颜曼滋 / 安地 / 王若熹  / 佟丽娅 / 伟大力 / 张衣 / 天使 / 克拉拉 / 叶展飞 / 倪腾 / 胡先煦 / 霍青 / 刘寅 / 国义骞 / 吴恩璇 / 王红卫 / 孔大山 / 徐建 / 刘佳沄 / 丁燕来 / 郜昂 / 严华 / 李仁 / 洪真 / 王磊 / 王一通 / 杨洪涛 / 赵叶索 / 李路琦 / 黄纪渊 / 郑楚一 / 吴静一 / 付嘉灏 / 瓦伦廷·沃罗布耶夫 / 李一冉 / 周强 / 朱超艺 / 何金和龙 / 何金和金 / 张涛 / 向进 / 李沛东
抓娃娃,7.1,喜剧,闫非 / 彭大魔,沈腾 / 马丽 / 史彭元 / 萨日娜 / 肖帛辰 / 张子栋 / 李嘉琦 / 魏翔 / 贾冰 / 于洋 / 李宗恒 / 赵凤霞 / 马文波 / 孙贵权 / 杨文哲 / 骆佳 / 陈冰 / 屈爽 / 刘鉴 / 丁柳元 / 王成思 / 张一鸣 / 陶亮 / 周庆昀 / 蔡明凯 / 罗娜 / 杨山 / 关文净 / 牛十一 / 路迪 / 陈昊明 / 贾舒涵 / 芮丹尼 / 于健 / 龙美杉 / 闫剑波 / 魏巍 / 于健 / 康启轩 / 郜玄铭 / 李尚 / 张猛 / 李松岳 / 雷阳 / 薛媛媛 / 杨兆超 / 王硕 / 谭玉龙
年会不能停！,8.1,剧情 / 喜剧,董润年,大鹏 / 白客 / 庄达菲 / 王迅 / 孙艺洲 / 李乃文 / 欧阳奋强 / 童漠男 / 大木 / 晃晃 / 衣云鹤 / 杨磊 / 孔连顺 / 李栋 / 王学东 / 赵天爱 / 王皓 / 宋木子 / 合文俊 / 李飞 / 石老板 / 六兽 / 卢庚戌 / 鄂靖文 / 李萍 / 刘頔 / 董润年
飞驰人生2,7.6,剧情 / 喜剧 / 运动,韩寒,沈腾 / 范丞丞 / 尹正 / 张本煜 / 孙艺洲 / 魏翔 / 贾冰 / 郑恺 / 冯绍峰 / 黄景瑜 / 刘昊然 / 于适 / 胡先煦 / 阎鹤祥 / 周野芒 / 高华阳 / 孙强 / 范高翔 / 郝瀚
满江红,7.0,剧情 / 喜剧 / 悬疑 / 古装,张艺谋,沈腾 / 易烊千玺 / 张译 / 雷佳音 / 岳云鹏 / 王佳怡 / 潘斌龙 / 余皑磊 / 郭京飞 / 欧豪 / 魏翔 / 张弛 / 黄炎 / 许静雅 / 蒋鹏宇 / 林博洋 / 飞凡 / 任思诺 / 陈永胜 / 张壹男
出走的决心,8.8,剧情 / 家庭,尹丽川,咏梅 / 姜武 / 吴倩 / 张本煜 / 马苏 / 艾丽娅 / 李易祥 / 李嘉鑫 / 吴泽南 / 陈玺旭
聊斋：兰若寺,6.7,剧情 / 喜剧 / 动画 / 奇幻,崔月梅 / 刘源 / 谢君伟 / 邹靖 / 黄鹤宇 / 刘一林,卢力峰 / 林强 / 张赫 / 陈子平 / 傅铂涵 / 橙璃 / 刘校妤 / 谷江山 / 谢轶辉 / 傅婷云 / 杨默 / 李诗萌 / 孙路路
蛟龙行动,6.2,剧情 / 动作 / 战争,林超贤,黄轩 / 于适 / 张涵予 / 段奕宏 / 王俊凯 / 杜江 / 李晨 / 王彦霖 / 蒋璐霞 / 韩东君 / 李九霄 / 高戈 / 孙毅 / 于震 / 袁文康 / 叶禾 / 翟宇佳 / 李璟羿 / 王子宸 / 郭洺宇 / 杜晓帆 / 杜燕歌
扬名立万,7.4,剧情 / 喜剧 / 悬疑,刘循子墨,尹正 / 邓家佳 / 喻恩泰 / 杨皓宇 / 陈明昊 / 秦霄贤 / 张本煜 / 柯达 / 邓恩熙 / 余皑磊 / 白客 / 赵文瑄 / 小爱 / 周奇
爱情神话,8.1,剧情 / 喜剧 / 爱情,邵艺辉,徐峥 / 马伊琍 / 吴越 / 倪虹洁 / 周野芒 / 黄明昊 / 王影璐 / 宁理 / 张芝华 / 吴冕 / 冯玛娅 / 哈姆扎·阿萨尔 / 孙思瀚 / 赵胤胤 / 卫莱 / 赵国云 / 杨蔚岚 / 白红卫 / 史航
独行月球,6.6,喜剧 / 科幻,张吃鱼,沈腾 / 马丽 / 常远 / 李诚儒 / 黄才伦 / 李嘉琦 / 郝瀚 / 黄子韬 / 王成思 / 高海宝 / 杨铮 / 史彭元 / 张熙然 / 黄品沅 / 杨皓宇 / 徐志胜 / 杜晓宇 / 李海银 / 陶亮 / 王赞 / 李唯贺 / 陈昊明 / 孟芷旭 / 赵一霖
酱园弄·悬案,5.6,剧情 / 犯罪,陈可辛,章子怡 / 王传君 / 易烊千玺 / 梅婷 / 赵丽颖 / 雷佳音 / 刘润萱 / 章宇 / 安娜·柯克 / 杨幂 / 康春雷 / 张羽霖 / 彭昱畅 / 尹昉 / 沈佳妮 / 陈国庆 / 张建亚 / 周野芒 / 大鹏 / 李现 / 徐祥 / 孙强 / 范伟
走走停停,8.0,剧情 / 喜剧 / 家庭,龙飞,胡歌 / 高圆圆 / 岳红 / 周野芒 / 金靖 / 刘钧 / 甘昀宸 / 刘仪伟 / 张鲁一 / 袁弘 / 王真儿 / 赫子铭 / 小爱 / 滕哲
刺杀小说家,6.5,动作 / 奇幻 / 冒险,路阳,雷佳音 / 杨幂 / 董子健 / 于和伟 / 郭京飞 / 佟丽娅 / 董洁 / 王圣迪 / 杨轶 / 刘天佐 / 李柄辉 / 萧子墨 / 双雪涛 / 徐建 / 刘迅 / 李士刚 / 袁帅 / 任杰 / 李军 / 陈铁军 / 李泰延 / 张优 / 张戈 / 谭天宇 / 虞书欣 / 高睿菲儿 / 吴振熙 / 王为成 / 黄皓达 / 韩陌 / 赵尤若男 / 康嘉泽 / 王洁 / 伍艺 / 张懿 / 李楠 / 关乐 / 马一萍
青蛇,8.6,剧情 / 爱情 / 奇幻 / 古装,徐克,张曼玉 / 王祖贤 / 赵文卓 / 吴兴国 / 马精武 / 田丰 / 刘洵
误杀2,5.7,剧情 / 犯罪,戴墨,肖央 / 任达华 / 文咏珊 / 陈雨锶 / 宋洋 / 李治廷 / 张世 / 尹子维 / 姜皓文 / 陈昊 / 周楚濋 / 王昊泽 / 强巴才丹
