person1,person2,role1,role2,movie_id,movie_name,rating,year,cooperation_id
黄精甫,阮经天,director,actor,0,周处除三害,8.1,0,黄精甫_阮经天_0
黄精甫,袁富华,director,actor,0,周处除三害,8.1,0,黄精甫_袁富华_0
黄精甫,陈以文,director,actor,0,周处除三害,8.1,0,黄精甫_陈以文_0
黄精甫,王净,director,actor,0,周处除三害,8.1,0,黄精甫_王净_0
黄精甫,谢琼煖,director,actor,0,周处除三害,8.1,0,黄精甫_谢琼煖_0
黄精甫,李李仁,director,actor,0,周处除三害,8.1,0,黄精甫_李李仁_0
黄精甫,刘子铨,director,actor,0,周处除三害,8.1,0,黄精甫_刘子铨_0
黄精甫,曾珮瑜,director,actor,0,周处除三害,8.1,0,黄精甫_曾珮瑜_0
黄精甫,陈秉佑,director,actor,0,周处除三害,8.1,0,黄精甫_陈秉佑_0
黄精甫,游安顺,director,actor,0,周处除三害,8.1,0,黄精甫_游安顺_0
黄精甫,郑有杰,director,actor,0,周处除三害,8.1,0,黄精甫_郑有杰_0
黄精甫,盛鉴,director,actor,0,周处除三害,8.1,0,黄精甫_盛鉴_0
黄精甫,吴奕蓉,director,actor,0,周处除三害,8.1,0,黄精甫_吴奕蓉_0
黄精甫,黄迪扬,director,actor,0,周处除三害,8.1,0,黄精甫_黄迪扬_0
黄精甫,曾向镇,director,actor,0,周处除三害,8.1,0,黄精甫_曾向镇_0
黄精甫,沈威年,director,actor,0,周处除三害,8.1,0,黄精甫_沈威年_0
黄精甫,杨迦恩,director,actor,0,周处除三害,8.1,0,黄精甫_杨迦恩_0
黄精甫,曾皓泽,director,actor,0,周处除三害,8.1,0,黄精甫_曾皓泽_0
黄精甫,郑永岳,director,actor,0,周处除三害,8.1,0,黄精甫_郑永岳_0
黄精甫,张启乐,director,actor,0,周处除三害,8.1,0,黄精甫_张启乐_0
黄精甫,苏耀庭,director,actor,0,周处除三害,8.1,0,黄精甫_苏耀庭_0
黄精甫,练家豪,director,actor,0,周处除三害,8.1,0,黄精甫_练家豪_0
黄精甫,李明哲,director,actor,0,周处除三害,8.1,0,黄精甫_李明哲_0
黄精甫,廖威迪,director,actor,0,周处除三害,8.1,0,黄精甫_廖威迪_0
黄精甫,罗振佑,director,actor,0,周处除三害,8.1,0,黄精甫_罗振佑_0
黄精甫,王又正,director,actor,0,周处除三害,8.1,0,黄精甫_王又正_0
黄精甫,林君柔,director,actor,0,周处除三害,8.1,0,黄精甫_林君柔_0
黄精甫,黄瀚德,director,actor,0,周处除三害,8.1,0,黄精甫_黄瀚德_0
黄精甫,刘子朋,director,actor,0,周处除三害,8.1,0,黄精甫_刘子朋_0
黄精甫,罗能华,director,actor,0,周处除三害,8.1,0,黄精甫_罗能华_0
黄精甫,许莉廷,director,actor,0,周处除三害,8.1,0,黄精甫_许莉廷_0
黄精甫,林瑞华,director,actor,0,周处除三害,8.1,0,黄精甫_林瑞华_0
黄精甫,刘禾育,director,actor,0,周处除三害,8.1,0,黄精甫_刘禾育_0
黄精甫,郭容腾,director,actor,0,周处除三害,8.1,0,黄精甫_郭容腾_0
黄精甫,李年雄,director,actor,0,周处除三害,8.1,0,黄精甫_李年雄_0
黄精甫,许德城,director,actor,0,周处除三害,8.1,0,黄精甫_许德城_0
黄精甫,黄惠卿,director,actor,0,周处除三害,8.1,0,黄精甫_黄惠卿_0
黄精甫,刘昕昊,director,actor,0,周处除三害,8.1,0,黄精甫_刘昕昊_0
黄精甫,权乐,director,actor,0,周处除三害,8.1,0,黄精甫_权乐_0
佟志坚,王安宇,director,actor,1,毕正明的证明,7.2,0,佟志坚_王安宇_1
佟志坚,张天爱,director,actor,1,毕正明的证明,7.2,0,佟志坚_张天爱_1
佟志坚,聂远,director,actor,1,毕正明的证明,7.2,0,佟志坚_聂远_1
佟志坚,王彦霖,director,actor,1,毕正明的证明,7.2,0,佟志坚_王彦霖_1
佟志坚,冯兵,director,actor,1,毕正明的证明,7.2,0,佟志坚_冯兵_1
佟志坚,邬家楷,director,actor,1,毕正明的证明,7.2,0,佟志坚_邬家楷_1
佟志坚,孔令美,director,actor,1,毕正明的证明,7.2,0,佟志坚_孔令美_1
佟志坚,黄小蕾,director,actor,1,毕正明的证明,7.2,0,佟志坚_黄小蕾_1
佟志坚,冯雷,director,actor,1,毕正明的证明,7.2,0,佟志坚_冯雷_1
佟志坚,石云鹏,director,actor,1,毕正明的证明,7.2,0,佟志坚_石云鹏_1
佟志坚,于白水,director,actor,1,毕正明的证明,7.2,0,佟志坚_于白水_1
佟志坚,生港帅,director,actor,1,毕正明的证明,7.2,0,佟志坚_生港帅_1
佟志坚,楚布花羯,director,actor,1,毕正明的证明,7.2,0,佟志坚_楚布花羯_1
佟志坚,师铭泽,director,actor,1,毕正明的证明,7.2,0,佟志坚_师铭泽_1
佟志坚,李晓川,director,actor,1,毕正明的证明,7.2,0,佟志坚_李晓川_1
佟志坚,王超,director,actor,1,毕正明的证明,7.2,0,佟志坚_王超_1
杨子,成龙,director,actor,2,捕风追影,8.1,0,杨子_成龙_2
杨子,张子枫,director,actor,2,捕风追影,8.1,0,杨子_张子枫_2
杨子,梁家辉,director,actor,2,捕风追影,8.1,0,杨子_梁家辉_2
杨子,此沙,director,actor,2,捕风追影,8.1,0,杨子_此沙_2
杨子,文俊辉,director,actor,2,捕风追影,8.1,0,杨子_文俊辉_2
杨子,周政杰,director,actor,2,捕风追影,8.1,0,杨子_周政杰_2
杨子,王杍逸,director,actor,2,捕风追影,8.1,0,杨子_王杍逸_2
杨子,郎月婷,director,actor,2,捕风追影,8.1,0,杨子_郎月婷_2
杨子,林秋楠,director,actor,2,捕风追影,8.1,0,杨子_林秋楠_2
杨子,王振威,director,actor,2,捕风追影,8.1,0,杨子_王振威_2
杨子,李哲坤,director,actor,2,捕风追影,8.1,0,杨子_李哲坤_2
邵艺辉,宋佳,director,actor,3,好东西,8.9,0,邵艺辉_宋佳_3
邵艺辉,钟楚曦,director,actor,3,好东西,8.9,0,邵艺辉_钟楚曦_3
邵艺辉,曾慕梅,director,actor,3,好东西,8.9,0,邵艺辉_曾慕梅_3
邵艺辉,章宇,director,actor,3,好东西,8.9,0,邵艺辉_章宇_3
邵艺辉,赵又廷,director,actor,3,好东西,8.9,0,邵艺辉_赵又廷_3
邵艺辉,任彬,director,actor,3,好东西,8.9,0,邵艺辉_任彬_3
邵艺辉,张弛,director,actor,3,好东西,8.9,0,邵艺辉_张弛_3
邵艺辉,周野芒,director,actor,3,好东西,8.9,0,邵艺辉_周野芒_3
邵艺辉,王菊,director,actor,3,好东西,8.9,0,邵艺辉_王菊_3
邵艺辉,孔连顺,director,actor,3,好东西,8.9,0,邵艺辉_孔连顺_3
邵艺辉,蒋易,director,actor,3,好东西,8.9,0,邵艺辉_蒋易_3
邵艺辉,杨英格,director,actor,3,好东西,8.9,0,邵艺辉_杨英格_3
邵艺辉,安栋,director,actor,3,好东西,8.9,0,邵艺辉_安栋_3
邵艺辉,冯玛娅,director,actor,3,好东西,8.9,0,邵艺辉_冯玛娅_3
郭帆,吴京,director,actor,4,流浪地球2,8.3,0,郭帆_吴京_4
郭帆,刘德华,director,actor,4,流浪地球2,8.3,0,郭帆_刘德华_4
郭帆,李雪健,director,actor,4,流浪地球2,8.3,0,郭帆_李雪健_4
郭帆,沙溢,director,actor,4,流浪地球2,8.3,0,郭帆_沙溢_4
郭帆,宁理,director,actor,4,流浪地球2,8.3,0,郭帆_宁理_4
郭帆,王智,director,actor,4,流浪地球2,8.3,0,郭帆_王智_4
郭帆,朱颜曼滋,director,actor,4,流浪地球2,8.3,0,郭帆_朱颜曼滋_4
郭帆,安地,director,actor,4,流浪地球2,8.3,0,郭帆_安地_4
郭帆,王若熹,director,actor,4,流浪地球2,8.3,0,郭帆_王若熹_4
郭帆,佟丽娅,director,actor,4,流浪地球2,8.3,0,郭帆_佟丽娅_4
郭帆,伟大力,director,actor,4,流浪地球2,8.3,0,郭帆_伟大力_4
郭帆,张衣,director,actor,4,流浪地球2,8.3,0,郭帆_张衣_4
郭帆,天使,director,actor,4,流浪地球2,8.3,0,郭帆_天使_4
郭帆,克拉拉,director,actor,4,流浪地球2,8.3,0,郭帆_克拉拉_4
郭帆,叶展飞,director,actor,4,流浪地球2,8.3,0,郭帆_叶展飞_4
郭帆,倪腾,director,actor,4,流浪地球2,8.3,0,郭帆_倪腾_4
郭帆,胡先煦,director,actor,4,流浪地球2,8.3,0,郭帆_胡先煦_4
郭帆,霍青,director,actor,4,流浪地球2,8.3,0,郭帆_霍青_4
郭帆,刘寅,director,actor,4,流浪地球2,8.3,0,郭帆_刘寅_4
郭帆,国义骞,director,actor,4,流浪地球2,8.3,0,郭帆_国义骞_4
郭帆,吴恩璇,director,actor,4,流浪地球2,8.3,0,郭帆_吴恩璇_4
郭帆,王红卫,director,actor,4,流浪地球2,8.3,0,郭帆_王红卫_4
郭帆,孔大山,director,actor,4,流浪地球2,8.3,0,郭帆_孔大山_4
郭帆,徐建,director,actor,4,流浪地球2,8.3,0,郭帆_徐建_4
郭帆,刘佳沄,director,actor,4,流浪地球2,8.3,0,郭帆_刘佳沄_4
郭帆,丁燕来,director,actor,4,流浪地球2,8.3,0,郭帆_丁燕来_4
郭帆,郜昂,director,actor,4,流浪地球2,8.3,0,郭帆_郜昂_4
郭帆,严华,director,actor,4,流浪地球2,8.3,0,郭帆_严华_4
郭帆,李仁,director,actor,4,流浪地球2,8.3,0,郭帆_李仁_4
郭帆,洪真,director,actor,4,流浪地球2,8.3,0,郭帆_洪真_4
郭帆,王磊,director,actor,4,流浪地球2,8.3,0,郭帆_王磊_4
郭帆,王一通,director,actor,4,流浪地球2,8.3,0,郭帆_王一通_4
郭帆,杨洪涛,director,actor,4,流浪地球2,8.3,0,郭帆_杨洪涛_4
郭帆,赵叶索,director,actor,4,流浪地球2,8.3,0,郭帆_赵叶索_4
郭帆,李路琦,director,actor,4,流浪地球2,8.3,0,郭帆_李路琦_4
郭帆,黄纪渊,director,actor,4,流浪地球2,8.3,0,郭帆_黄纪渊_4
郭帆,郑楚一,director,actor,4,流浪地球2,8.3,0,郭帆_郑楚一_4
