person1,person2,cooperation_count,avg_rating,movies,movies_count
林雪,杜琪峰,11,7.572727272727272,"[{'movie_id': 2817, 'movie_name': '枪火', 'rating': 8.8, 'year': 0}, {'movie_id': 2818, 'movie_name': '暗战', 'rating': 8.6, 'year': 0}, {'movie_id': 2816, 'movie_name': '神探', 'rating': 8.5, 'year': 0}, {'movie_id': 2819, 'movie_name': '黑社会', 'rating': 8.5, 'year': 0}, {'movie_id': 2820, 'movie_name': '黑社会2：以和为贵', 'rating': 8.4, 'year': 0}]",5
葛优,冯小刚,11,8.127272727272727,"[{'movie_id': 193, 'movie_name': '天下无贼', 'rating': 9.1, 'year': 0}, {'movie_id': 211, 'movie_name': '私人订制', 'rating': 9.0, 'year': 0}, {'movie_id': 250, 'movie_name': '甲方乙方', 'rating': 8.9, 'year': 0}, {'movie_id': 333, 'movie_name': '夜宴', 'rating': 8.7, 'year': 0}, {'movie_id': 335, 'movie_name': '手机', 'rating': 8.7, 'year': 0}]",5
海涛,韩朔,10,7.140000000000001,"[{'movie_id': 1254, 'movie_name': '侠僧探案传奇之大夜叉', 'rating': 7.4, 'year': 0}, {'movie_id': 1344, 'movie_name': '侠僧探案传奇之聚义钱庄', 'rating': 7.3, 'year': 0}, {'movie_id': 1422, 'movie_name': '侠僧探案传奇之王陵之谜', 'rating': 7.2, 'year': 0}, {'movie_id': 1498, 'movie_name': '侠僧探案传奇之催命符', 'rating': 7.1, 'year': 0}, {'movie_id': 1499, 'movie_name': '侠僧探案传奇之醉玲珑', 'rating': 7.1, 'year': 0}]",5
海涛,刘冠成,10,7.140000000000001,"[{'movie_id': 1254, 'movie_name': '侠僧探案传奇之大夜叉', 'rating': 7.4, 'year': 0}, {'movie_id': 1344, 'movie_name': '侠僧探案传奇之聚义钱庄', 'rating': 7.3, 'year': 0}, {'movie_id': 1422, 'movie_name': '侠僧探案传奇之王陵之谜', 'rating': 7.2, 'year': 0}, {'movie_id': 1498, 'movie_name': '侠僧探案传奇之催命符', 'rating': 7.1, 'year': 0}, {'movie_id': 1499, 'movie_name': '侠僧探案传奇之醉玲珑', 'rating': 7.1, 'year': 0}]",5
杜琪峰,张兆辉,8,7.4375,"[{'movie_id': 2816, 'movie_name': '神探', 'rating': 8.5, 'year': 0}, {'movie_id': 2819, 'movie_name': '黑社会', 'rating': 8.5, 'year': 0}, {'movie_id': 2820, 'movie_name': '黑社会2：以和为贵', 'rating': 8.4, 'year': 0}, {'movie_id': 2821, 'movie_name': '放·逐', 'rating': 8.3, 'year': 0}, {'movie_id': 654, 'movie_name': '大事件', 'rating': 7.0, 'year': 0}]",5
张艺谋,巩俐,8,7.85,"[{'movie_id': 158, 'movie_name': '活着', 'rating': 9.3, 'year': 0}, {'movie_id': 339, 'movie_name': '大红灯笼高高挂', 'rating': 8.8, 'year': 0}, {'movie_id': 340, 'movie_name': '红高粱', 'rating': 8.7, 'year': 0}, {'movie_id': 509, 'movie_name': '秋菊打官司', 'rating': 8.4, 'year': 0}, {'movie_id': 664, 'movie_name': '菊豆', 'rating': 8.2, 'year': 0}]",5
徐帆,冯小刚,8,8.725,"[{'movie_id': 190, 'movie_name': '唐山大地震', 'rating': 9.1, 'year': 0}, {'movie_id': 193, 'movie_name': '天下无贼', 'rating': 9.1, 'year': 0}, {'movie_id': 238, 'movie_name': '一九四二', 'rating': 8.9, 'year': 0}, {'movie_id': 250, 'movie_name': '甲方乙方', 'rating': 8.9, 'year': 0}, {'movie_id': 335, 'movie_name': '手机', 'rating': 8.7, 'year': 0}]",5
杜琪峰,古天乐,7,6.757142857142858,"[{'movie_id': 2819, 'movie_name': '黑社会', 'rating': 8.5, 'year': 0}, {'movie_id': 2820, 'movie_name': '黑社会2：以和为贵', 'rating': 8.4, 'year': 0}, {'movie_id': 800, 'movie_name': '铁三角', 'rating': 6.5, 'year': 0}, {'movie_id': 577, 'movie_name': '百年好合', 'rating': 6.2, 'year': 0}, {'movie_id': 415, 'movie_name': '三人行', 'rating': 5.9, 'year': 0}]",5
范伟,冯小刚,7,8.185714285714285,"[{'movie_id': 193, 'movie_name': '天下无贼', 'rating': 9.1, 'year': 0}, {'movie_id': 211, 'movie_name': '私人订制', 'rating': 9.0, 'year': 0}, {'movie_id': 229, 'movie_name': '我不是潘金莲', 'rating': 8.9, 'year': 0}, {'movie_id': 238, 'movie_name': '一九四二', 'rating': 8.9, 'year': 0}, {'movie_id': 335, 'movie_name': '手机', 'rating': 8.7, 'year': 0}]",5
贾樟柯,赵涛,7,8.3,"[{'movie_id': 224, 'movie_name': '江湖儿女', 'rating': 8.9, 'year': 0}, {'movie_id': 262, 'movie_name': '山河故人', 'rating': 8.8, 'year': 0}, {'movie_id': 449, 'movie_name': '三峡好人', 'rating': 8.5, 'year': 0}, {'movie_id': 580, 'movie_name': '站台', 'rating': 8.3, 'year': 0}, {'movie_id': 644, 'movie_name': '二十四城记', 'rating': 8.2, 'year': 0}]",5
