name,movie_count,avg_rating,director_count,writer_count,actor_count
黄精甫,3,7.333333333333333,3,0,0
阮经天,12,8.250000000000002,0,0,12
袁富华,1,8.1,0,0,1
陈以文,2,7.9,0,0,2
王净,2,7.9,0,0,2
谢琼煖,2,7.65,0,0,2
李李仁,2,7.9,0,0,2
刘子铨,1,8.1,0,0,1
曾珮瑜,3,7.133333333333333,0,0,3
陈秉佑,1,8.1,0,0,1
游安顺,1,8.1,0,0,1
郑有杰,3,7.033333333333334,0,0,3
盛鉴,4,8.675,0,0,4
吴奕蓉,1,8.1,0,0,1
黄迪扬,1,8.1,0,0,1
曾向镇,1,8.1,0,0,1
沈威年,1,8.1,0,0,1
杨迦恩,1,8.1,0,0,1
曾皓泽,1,8.1,0,0,1
郑永岳,2,7.55,0,0,2
张启乐,1,8.1,0,0,1
苏耀庭,1,8.1,0,0,1
练家豪,1,8.1,0,0,1
李明哲,1,8.1,0,0,1
廖威迪,1,8.1,0,0,1
罗振佑,1,8.1,0,0,1
王又正,1,8.1,0,0,1
林君柔,1,8.1,0,0,1
黄瀚德,1,8.1,0,0,1
刘子朋,1,8.1,0,0,1
罗能华,1,8.1,0,0,1
许莉廷,1,8.1,0,0,1
林瑞华,1,8.1,0,0,1
刘禾育,1,8.1,0,0,1
郭容腾,1,8.1,0,0,1
李年雄,1,8.1,0,0,1
许德城,1,8.1,0,0,1
黄惠卿,1,8.1,0,0,1
刘昕昊,1,8.1,0,0,1
权乐,1,8.1,0,0,1
佟志坚,2,7.4,2,0,0
王安宇,1,7.2,0,0,1
张天爱,6,7.616666666666667,0,0,6
聂远,16,7.19375,0,0,16
王彦霖,5,7.42,0,0,5
冯兵,6,6.449999999999999,0,0,6
邬家楷,3,6.3,0,0,3
孔令美,1,7.2,0,0,1
黄小蕾,15,7.046666666666667,0,0,15
冯雷,3,7.699999999999999,0,0,3
石云鹏,1,7.2,0,0,1
于白水,2,6.95,0,0,2
生港帅,4,6.300000000000001,0,0,4
楚布花羯,2,6.6,0,0,2
师铭泽,1,7.2,0,0,1
李晓川,11,7.836363636363637,0,0,11
王超,4,7.35,2,0,2
杨子,9,7.288888888888888,6,0,3
成龙,23,8.204347826086956,2,0,21
张子枫,12,7.791666666666667,0,0,12
梁家辉,39,8.069230769230769,1,0,38
此沙,2,7.0,0,0,2
文俊辉,1,8.1,0,0,1
周政杰,2,7.6,0,0,2
王杍逸,1,8.1,0,0,1
郎月婷,7,7.871428571428572,0,0,7
林秋楠,3,7.7,0,0,3
王振威,1,8.1,0,0,1
李哲坤,1,8.1,0,0,1
邵艺辉,2,8.5,2,0,0
宋佳,22,7.763636363636365,0,0,22
钟楚曦,6,7.833333333333333,0,0,6
曾慕梅,1,8.9,0,0,1
章宇,9,7.322222222222223,0,0,9
赵又廷,11,8.527272727272727,0,0,11
任彬,2,8.0,0,0,2
张弛,3,7.533333333333334,1,0,2
周野芒,8,7.5625,0,0,8
王菊,3,7.400000000000001,0,0,3
孔连顺,10,8.16,0,0,10
蒋易,3,7.466666666666666,0,0,3
杨英格,1,8.9,0,0,1
安栋,1,8.9,0,0,1
冯玛娅,2,8.5,0,0,2
郭帆,8,8.175,4,0,4
吴京,18,8.533333333333335,2,0,16
刘德华,38,8.202631578947368,0,0,38
李雪健,16,7.6625000000000005,0,0,16
沙溢,15,7.340000000000001,0,0,15
宁理,4,6.449999999999999,0,0,4
王智,12,7.625,0,0,12
朱颜曼滋,7,7.514285714285714,0,0,7
安地,3,7.7,0,0,3
王若熹,1,8.3,0,0,1
佟丽娅,18,8.0,0,0,18
伟大力,1,8.3,0,0,1
张衣,3,7.266666666666667,0,0,3
天使,1,8.3,0,0,1
克拉拉,3,5.7,0,0,3
叶展飞,1,8.3,0,0,1
倪腾,1,8.3,0,0,1
胡先煦,6,7.333333333333333,0,0,6
霍青,5,7.6,0,0,5
刘寅,1,8.3,0,0,1
国义骞,3,6.8,0,0,3
吴恩璇,1,8.3,0,0,1
王红卫,1,8.3,0,0,1
孔大山,2,8.15,1,0,1
徐建,2,7.4,0,0,2
刘佳沄,1,8.3,0,0,1
丁燕来,1,8.3,0,0,1
郜昂,1,8.3,0,0,1
严华,1,8.3,0,0,1
李仁,1,8.3,0,0,1
洪真,1,8.3,0,0,1
王磊,3,7.666666666666667,0,0,3
王一通,2,8.15,0,0,2
杨洪涛,3,5.733333333333333,1,0,2
赵叶索,2,7.800000000000001,0,0,2
李路琦,1,8.3,0,0,1
